address,maxClaimable,price,currencyAddress
0x9c1cFE95413520d35D03c51b60b82abBcD39057D,1,,
0x7C6F3877c942089866B6Ca13c2F58E94CfE72978,1,,
0xAf1c69da79A71f82B9fbC1f72dCa7f0eE70F8460,1,,
0x7f7247F23453890F6F544E74a9cD96c633667f12,1,,
0x65e3419E633833Df1D602e7905Cb9C7e541f0849,1,,
0x17D1b7EE40Ebc6CCFFC3C0920B6C70026DaDD7Cd,1,,
0x8CB0216b9668728412Af9E29F8A42E6407d77897,1,,
0xE2e44dd36dd3bE520CEE56e6723e433582480719,1,,
0x65C628c1B09566820609bEf6D134DF9Bffa0FB88,1,,
0x743a2c7Dee7E4b7FdAE946c4de02273a20867395,1,,
0x7f609f87DE20e4988d951365aeA89486D198dA94,1,,
0x182B6C7923AF14D848fb9ACA5d987D74d3b32329,1,,
0x1d196D9A36ebCB486aFa72e434A52702F933916B,1,,
0x2Ec4a0D50fdA7A8479ef58d1eA36eFeDf1cE42be,1,,
0xDC5c126F2ECc2adD64f9a3e36880710C88dDCECf,1,,
0xC509c43332CF6288dDbFD0064C181909a0F2a9c4,1,,
0x5781cd86839597e9C460C547770E46Ac3FFEFA5c,1,,
0x33bE45C761b50f44e966d901Fa6D0528A74865e5,1,,
0x41Dbdf08790aa8969355cAE0c6Ccb1F4723C33c6,1,,
0xD7891478263ce53C239365F1EbFAdCFE25901B7C,1,,
0x06Db143aDE980487c939B7392f800B3df1e865FD,1,,
0x9DD5D09bfC4613CAc701E1255698961b0b8060ae,1,,
0x97c5bA36b375fd5b53BF6782673ecfEe094504bC,1,,
0x0ac7DD7Facb18A238da566BEc2de5A5bF11533C1,1,,
0x698B86a0EF83833C024bb31Ac27a300B8B6d2C15,1,,
0xD4c2dDDA6fC8A7f78bd1e1027EE0F9D55984b992,1,,
0xFe1375003c657d3DD2DcE16AD057E56fBA8F2263,1,,
0x21EE4E4994a5D87F579B9AeE5e22142b85E9c624,1,,
0xD01Ca8e58292D353641e4101b50122805b2465a0,1,,
0xE560D19E58c5B1C8Ca057C51C5AE7e32DB979ccB,1,,
0x9B05B125F4B443FeCC70239106E1B80B600238Ba,1,,
0x291C8E1dCD72414240638214Ae32AcB04B59A9eD,1,,
0x8C5b0098BE951Eb5D7B61b2442aDEdB85070ebFC,1,,
0x94530dd66f6b2a7Ab0692F9E73987a294B0D24ae,1,,
0x97c746Ec6995770830d326FFA672f08A69D02218,1,,
0xc143cF8515B87EA88d8dB8a9892639B5046CF81c,1,,
0x0569882AAEA4Db55E149D737E259af6f07672F0E,1,,
0xb74Fc63B2b655FBB69380315A1D6caA9f292C920,1,,
0x180f4b0a8fB59b472D6Fa44998E362702A61fEDF,1,,
0x31d6d1eaAB77Add6502b0b6eBFbA8f50be52e565,1,,
0x1acBB32E13d98a6Ca81f0fC52Ecf455Cc0aBFdbF,1,,
0x25F6EA8a93f5054a6c89031e6137A987549D0C31,1,,
0xae9AB8062a3557B88cdd82ef826c448E08aDC6cD,1,,
0xf424DE287Cd177bF04d5A7c8749759E80f989B82,1,,
0x2C0758F1C3bbF5a2F21855901308a0C2776671C7,1,,
0xFe6b8CCdC42C33aD46B084449106e23fE72De02A,1,,
0xCf50aFF8c0427B0c67Bb7cf99E2104ae187A76c2,1,,
0x6f138d7DF166a11C0F05D61Fe2774395D94090Aa,1,,
0x01558C402dB9d460F076cD0a27936B7a49aC5652,1,,
0xc55B3dd116F5E76bC9c9d0D9f0672674ffbF4FC1,1,,
0xe199293326FE442480B711a210E5847B6b3fB664,1,,
0x3A831111C29237CAAfA4A9374fA31ab45a1FfEf9,1,,
0x0f1B0F8bF35acE5B64bE7CAff4b81Ff708746D7A,1,,
0xEE5eE2aD4153AEC88874cED464324DE3f03A858d,1,,
0xf280EF68D0d79FCD20C1e2624379feD12CCC8650,1,,
0x1A86F38187e8dBD7eAb3e0BBDc98D550916F545A,1,,
0xB6754E53Ce15dF43269F59f21C9c235F1f673d67,1,,
0x15430a7AEa7FAF8b86b3F7C2a740b4bE882A14d3,1,,
0xf3542fbF2063Fe397932ad3D35f3AE7ee9A4E7E1,1,,
0x282584A77AE3c3aa885c1683C1C718a415616197,1,,
0xeb322113DF191216c2Cfe047d0919e705F6164F1,1,,
0x0DF14E5F617f81bCa5Ff0D7E95CcCA511e04518C,1,,
0xE5b3e29192aa827F284F69e949E062ab2ea2c1CC,1,,
0x8f6Ee583447d75E3B070d9c35DB6F685aa9cc319,1,,
0x5dE65272846059eFe0120F93e384bd5bcb738dcd,1,,
0x314D705a244d15f2142698f3D48272D1373f4c4B,1,,
0x2809892C26403B41e43F4fC37398b04eE230aaCe,1,,
0xEC5Fe052c043B497dAfed0519cE61139996d7d69,1,,
0x9A48F09B6f0b770607A25EE43277CC01d08169D1,1,,
0x69E8cFB9F9e9ED7167cA29A243700241eC5f329A,1,,
0x3d1bFdb920C94a40906F660333486504A236d4B3,1,,
0x93AF3EECA665314ebc2B06E43Ec15997c16365Ab,1,,
0xFA5aD150F1fD110dC468dE1af9639498412c3423,1,,
0xABb57831eA27B2610EAb0Da51d8b351C5B3aF5C4,1,,
0x7274379c663237b488f8EA7E7a35029183a30363,1,,
0x78972afAeeBC9d85Fb0e134D233058E13e14EA4a,1,,
0x2e5e9c6358C201C4546B971c2B41882585E270Df,1,,
0x406d98307642357Ad6Bfcb2937E07199fcDA1a77,1,,
0x69858FE84FDC010A18B5Da51D7fb8b32C113fF51,1,,
0x34dC3C63CcfDD17Bb188133afE18387DF46251Ca,1,,
0x97d07248422C4CfD453FD4025cD8711bE9Ac6d54,1,,
0x940eb1c35dADF43B27a43CC8f2A919bB014451f7,1,,
